A0;Transfer function coefficient
A1;Transfer function coefficient
A2;Transfer function coefficient
ABGMSIGH;Exhaust gas temperature threshold for signal interruption with Ri-diagnosis downstream of CAT
ADKATNF;Normalization factor for probe signal amplitude or catalyst load
ADRONLOGIN;Login code to activate ADR
AFNTOL;Tolerance for reducing the misfire window relative to engine speed
AGRRMAX;Maximum possible EGR rate
AGR_AOG;Upper limit value for EGR rate adaptation
AGR_AUG;Lower limit value for EGR rate adaptation
AHEKA;Misfire frequency to reach fuel cutoff
AHKATMN_0_A;Threshold for catalyst good, AHKAT < AHKATMN
AHKATMN_1_A;Threshold for catalyst good, AHKAT < AHKATMN
AHKATMX_0_A;Threshold for catalyst defective, AHKAT > AHKATMX
AHKATMX_1_A;Threshold for catalyst defective, AHKAT > AHKATMX
AHKATS;Threshold for sum AHKAT, AHKAT2 (Stereo)
AHKATSB;Threshold for sum range error (Stereo)
AHKTMXT_0_A;Threshold for catalyst defective during tester mode
AHKTMXT_1_A;Threshold for catalyst defective during tester mode
AHKTTSW;Set value for timer in signal evaluation
AIMVM_0_A;Number of speed pulses per m for normalization of v-signal
AIMVM_1_A;Number of speed pulses per m for normalization of v-signal
AIMVM_2_A;Number of speed pulses per m for normalization of v-signal
AIMVM_3_A;Number of speed pulses per m for normalization of v-signal
ANZDYNSH;Number of dynamic measurements for probe oscillation test downstream of CAT
ANZEAUS;Number of injections to be suppressed
ANZERDYH;Number of error measurements for probe dynamics in overrun downstream of CAT
ANZERSCH;Number of error measurements for probe voltage in overrun downstream of CAT
ANZRMSL;Number of MSL measurements for moving average evaluation
ANZTIBMX;Limit for ti-injection counter "anztib_w"
APDTEFRE;Number of gradient fr comparisons for detecting fr-settled in DTEV
APDTEVX;Max. number of tests for detected error
APEKTDX;Max. number of error tests for catalyst diagnosis
ATMTAKR;Correction of manifold temperature
ATMTANS;Temperature correction of exhaust gas model temperature
ATRP;Gain factor P-component exhaust gas temperature control
ATVFETTO;Upper limit for atvfett, CARB tester, DLSSA
ATVFETTU;Lower limit for atvfett, CARB tester, DLSSA
ATVMAGO;Upper limit for atvmager, CARB tester, DLSSA
ATVMAGU;Lower limit for atvmager, CARB tester, DLSSA
AVDTEVX;Max. number of test attempts DTEV
AVKATFS;Set value for AVKATF if power fail
AZLRKTD_0_A;Forced amplitude for lambda control from catalyst diagnosis
AZLRKTD_1_A;Forced amplitude for lambda control from catalyst diagnosis
AZLRKTT_0_A;Forced amplitude for lambda control from catalyst diagnosis at tester request
AZLRKTT_1_A;Forced amplitude for lambda control from catalyst diagnosis at tester request
AZYTIAB;Maximum number of cylinders with Ti-cutoff due to misfires
B1;Transfer function coefficient
B2;Transfer function coefficient
BACC_T_UM;Error debouncing: Error in message protection of the ACC message
BGRA_T_UM;Error debouncing: Message error GRA (Cruise Control)
BRESP_T_UM;Debounce time for applied brake in function monitoring (ext. brake intervention)
BTRKHTMS;Characteristic curve for release B_trkh
BUSOFFCTR;Counter for Bus-off edges until fault memory entry
BUSOFFTIME;Debounce time for resetting Bus-off error
CANVERS;CAN version designation
CATR;Configuration byte exhaust gas temperature control
CBGRLP;Codeword configuration function BGRLP
CCMKBI;Instrument cluster output displacement
CDAGR;Codeword disable DAGR (EURO coding), CD..=0 -> no diagnosis
CDAGRL;Codeword disable position sensor diagnosis (EURO coding), CD..=0 -> no diag.
CDKATLK;Codeword for B_lrka active
CDLSA;Codeword lambda sensor aging diagnosis, config. byte, for application purposes
CDTAAA;Dummy: Table start
CDTAATUN;Tester codeword: Tuning protection
CDTAAVE;Tester codeword: Shut-off valve activated charcoal filter (output stage)
CDTAGRE;Tester codeword: EGR output stage monitoring
CDTAGRF;Tester codeword: EGR flow monitoring
CDTATR;Fault path code exhaust gas temperature control
CDTATR2;Fault path code exhaust gas temperature control bank 2
CDTATS;Tester codeword exhaust gas temperature sensor
CDTATS2;Codeword exhaust gas temperature sensor bank 2
CDTBM;Tester codeword: Reference mark sensor
CDTBREMS;Fault path code: BREMS (Brake switch)
CDTBWF;Tester codeword: PWG (Pedal Travel Sensor) movement
CDTCAS;Tester codeword: CAN interface, timeout ASC
CDTCGE;Tester codeword: CAN interface, timeout EGS (Transmission Control)
CDTCIF;Tester codeword: CAN interface, internal error
CDTCINS;Tester codeword: CAN timeout, instruments
CDTCKLA;Tester codeword: CAN interface, timeout AC
CDTDK;Tester codeword: Throttle valve potentiometer
CDTDK1P;Tester codeword: Throttle valve 1st potentiometer
CDTDK2P;Tester codeword: Throttle valve 2nd potentiometer
CDTDPL;Tester codeword: Permanent positive (Terminal 30)
CDTDSBKV;Tester codeword: BKV (Brake Booster)
CDTDSL;Tester codeword: Boost pressure sensor
CDTDSU;Tester codeword: Ambient pressure sensor
CDTDSVLU;Tester codeword: Pressure sensor signal comparison (Boost vs. Ambient)
CDTDVEE;Tester codeword: DV-E (Electronic Throttle) output stage
CDTDVEF;Tester codeword: DV-E error during spring test
CDTDVEL;Tester codeword: DV-E position deviation
CDTDVEN;Tester codeword: DV-E error during emergency air position test
CDTDVER;Tester codeword: DV-E control range
CDTDVEU;Tester codeword: DV-E error during UMA learning
CDTDVEV;Tester codeword: DV-E error during amplifier adjustment
CDTEGFE;Tester codeword: Input variable load detection
CDTENWS;Tester codeword: Variable valve timing intake camshaft
CDTENWSE;Tester codeword: Intake camshaft output stage
CDTEPCLE;Tester codeword: Driving behavior error lamp (output stage)
CDTETSE;Tester codeword: Electric thermostat output stage
CDTEV1;Tester codeword: Injector valve cyl. 1
CDTEV2;Tester codeword: Injector valve cyl. 2
CDTEV3;Tester codeword: Injector valve cyl. 3
CDTEV4;Tester codeword: Injector valve cyl. 4
CDTEV5;Tester codeword: Injector valve cyl. 5
CDTEV6;Tester codeword: Injector valve cyl. 6
CDTEV7;Tester codeword: Injector valve cyl. 7
CDTEV8;Tester codeword: Injector valve cyl. 8
CDTFP1P;Tester codeword: Potentiometer 1, accelerator pedal
CDTFP2P;Tester codeword: Potentiometer 2, accelerator pedal
CDTFPP;Tester codeword: Accelerator pedal potentiometer
CDTFRAO;Tester codeword: LR adaptation multiplicative upper threshold
CDTFRAU;Tester codeword: LR adaptation multiplicative lower threshold
CDTFRST;Tester codeword: LR deviation
CDTGRBH;Tester codeword: Cruise control lever
CDTHSH;Tester codeword: Lambda sensor heater downstream of catalyst
CDTHSH2;Tester codeword: Lambda sensor heater 2 downstream of catalyst, bank 2
CDTHSHE;Tester codeword: Lambda sensor heater output stage downstream of catalyst
CDTHSHE2;Tester codeword: Lambda sensor heater 2 output stage downstream of catalyst
CDTHSV;Tester codeword: Lambda sensor heater upstream of catalyst
CDTHSV2;Tester codeword: Lambda sensor heater upstream of catalyst, bank 2
CDTHSVSA;Tester codeword: Lambda sensor heater upstream of catalyst
CDTHSVSA2;Tester codeword: Lambda sensor heater upstream of catalyst, bank 2
CDTKAT;Tester codeword: Catalyst conversion
CDTKPE;Tester codeword: Fuel pump relay output stage
CDTKRNT;Tester codeword: Knock control zero test
CDTKROF;Tester codeword: Knock control offset
CDTKRTP;Tester codeword: Knock control test pulse
CDTKS1;Tester codeword: Knock sensor 1
CDTKS2;Tester codeword: Knock sensor 2
CDTKS3;Tester codeword: Knock sensor 3
CDTKS4;Tester codeword: Knock sensor 4
CDTKUPPL;Fault path code: Clutch pedal travel sensor
CDTLASH;Tester codeword: Lambda sensor aging downstream of catalyst
CDTLASH2;Tester codeword: Lambda sensor aging downstream of catalyst bank 2
CDTLDE;Tester codeword: Boost pressure control valve (output stage)
CDTLDO;Tester codeword: Boost pressure; upper value exceeded
CDTLDP;Tester codeword: Tank ventilation; leak diagnosis pump
CDTLDPE;Tester codeword: Leak diagnosis pump output stage
CDTLDRA;Tester codeword: Boost pressure control deviation
CDTLDUV;Tester codeword: Diverter valve output stage
CDTLKVDK;Tester codeword: Leak upstream of throttle valve
CDTLLR;Tester codeword: Idle speed control at stop
CDTLM;Tester codeword: MAF sensor (LMM/HLM/HFM)
CDTLSH;Tester codeword: Lambda sensor downstream of catalyst
CDTLSV;Tester codeword: Lambda sensor upstream of catalyst
CDTMD;Tester codeword: Misfires, sum error (multiple)
CDTMD00;Tester codeword: Misfire cyl. 0
CDTMD01;Tester codeword: Misfire cyl. 1
CDTMD02;Tester codeword: Misfire cyl. 2
CDTMD03;Tester codeword: Misfire cyl. 3
CDTMDB;Tester codeword: Torque limitation target torque
CDTMFA;Tester codeword: MIL externally determined
CDTMILE;Tester codeword: MIL output stage
CDTN;Tester codeword: Engine speed sensor
CDTNWKW;Tester codeword: Correlation camshaft to crankshaft
CDTNWSE;Tester codeword: Camshaft control valve output stage
CDTNX;Tester codeword: NMAX - Exceedance
CDTPH;Tester codeword: Phase sensor
CDTRKAT;Tester codeword: LR adaptation additive per time
CDTRKAZ;Tester codeword: LR adaptation additive per ignition
CDTSCR;Tester codeword: Crash signal monitoring
CDTSGEEP;Tester codeword: ECU defective (EEPROM)
CDTSGEEW;Tester codeword: ECU defective (EEPROM IMMO area)
CDTSLPE;Tester codeword: Secondary air pump (output stage)
CDTSLS;Tester codeword: Secondary air system
CDTSLV;Tester codeword: Secondary air valve
CDTSLVE;Tester codeword: Secondary air valve (output stage)
CDTSUE;Tester codeword: Intake manifold changeover output stage
CDTSWE;Tester codeword: Acceleration sensor rough road detection
CDTTA;Tester codeword: Intake air temperature (TANS)
CDTTANKL;Tester codeword: OBDII error due to empty tank
CDTTES;Tester codeword: Evaporative emission system (EVAP)
CDTTESF;Tester codeword: EVAP system fine leak
CDTTESG;Tester codeword: EVAP system gross leak
CDTTEVE;Tester codeword: Tank ventilation valve output stage
CDTTEVE2;Tester codeword: Tank ventilation valve output stage bank 2
CDTTM;Tester codeword: Engine temperature (TMOT)
CDTTMKI;Tester codeword: Engine temperature from instrument cluster (TMKI)
CDTTUM;Tester codeword: Ambient temperature (TUM)
CDTUB;Tester codeword: Battery voltage (UB)
CDTUBR;Tester codeword: UBR system voltage via main relay
CDTUFMV;Tester codeword: Function monitoring: Torque comparison
CDTUFSKA;Tester codeword: Function monitoring: Safety fuel cutoff
CDTURRAM;Tester codeword: Processor monitoring: RAM
CDTURROM;Tester codeword: Processor monitoring: ROM
CDTURRST;Tester codeword: Processor monitoring: Reset
CDTUVSE;Tester codeword: Turbocharger bypass valve output stage
CDTVFZ;Tester codeword: Vehicle speed
CDTWFS;Tester codeword: Immobilizer
CDTZZZ;Dummy: Table end
CDWKOB;Codeword: Selection for gear detection for KO-switch off (gear or engine speed/speed)
CIDLSCH;Component ID for one-time test measurement in overrun for probe downstream of CAT
CIDLSCH2;Component ID for one-time test measurement in overrun for probe downstream of CAT bank 2
CIDLSDY;Component ID for one-time test dynamic measurement in overrun for probe downstream of CAT
CIDLSDY2;Component ID for one-time test dynamic measurement in overrun for probe downstream of CAT bank 2
CIDSHKF;Component ID for one-time test rich voltage downstream of CAT
CIDSHKF2;Component ID for one-time test rich voltage downstream of CAT bank 2
CIDSHKM;Component ID for one-time test lean voltage downstream of CAT
CIDSHKM2;Component ID for one-time test lean voltage downstream of CAT bank 2
CLAAAA;Dummy: Table start
CLAAATUN;Fault class: Tuning protection
CLAAAVE;Fault class: Shut-off valve activated charcoal filter (output stage)
CLAAGRE;Fault class: EGR valve output stage
CLAAGRF;Fault class: EGR flow monitoring
CLAATR;Fault class exhaust gas temperature control
CLAATR2;Fault class exhaust gas temperature control bank 2
CLAATS;Fault class exhaust gas temperature sensor
CLAATS2;Fault class exhaust gas temperature sensor bank 2
CLABM;Fault class: Reference mark sensor
CLABREMS;Fault class: BREMS (Brake switch)
CLABWF;Fault class: PWG movement
CLACAS;Fault class: CAN timeout ASC message
CLACAT;Fault class: CAN interface, timeout ASR
CLACGE;Fault class: CAN timeout EGS message
CLACIF;Fault class: CAN interface, internal error
CLACINS;Fault class: CAN timeout instrument cluster message
CLADK;Fault class: Throttle valve potentiometer
CLADK1P;Fault class: Throttle valve 1st potentiometer
CLADK2P;Fault class: Throttle valve 2nd potentiometer
CLADPL;Fault class: Permanent positive
CLADSBKV;Fault class: BKV (Brake Booster)
CLADSL;Fault class: Boost pressure sensor
CLADSU;Fault class: Ambient pressure sensor
