Acronym;Description
ABKVP;Booster pump control
ABOINI;Init. value of starts Counter for recognation of fuel in oil
ABOLRAR;Threshold numbers of starts with fuel in oil for reduction LRA
ABOMX;Max. numbers of starts for recognation of fuel in oil
ACIFI;Output for each individual cylinder injection
ADCC_MX_UM;Max. ADC-value for ADC-channel shifted towards low at the ADC-test
ADCC_T_UM;Error time for ADC values for sp1s that become increasingly less mutually plaus.
ADCQ_T_UM;Error time for defect ADC-queue in the queue monitoring
ADCY;Number of dcy to initialisation of durability run counter
ADVE;Activation of the DV-E by means of the DLR
AEKP;Output EKP control
AEVAB;Output injection EV-suppression
AEVABU;Output injection cut-off by monitoring functions (EGAS)
AFSTB;Debounce counter fuel tank conditions
AFZBKLH;Number of driving cycles with cond. radiation power high for tmot stuck check
AFZBKLN;Number of driving cycles with cond. radiation power low for tmot stuck check
AGANGW;Number of gear changes for diagnosis clutch switch
AHEAGW;Misfire frequency at which emission limits occures
AHEAGWS;Misfire frequency at which emission limits occures
AHEAGWSK;Misfire frequency (emission limits) first interval at catalyst heating
AHEARV;Misfire frequency at which other functions will be stopped
AHEKS1B1;Misfire frequency at which catalyst damge occurs during first intervall bank 1
AHEKS1B2;Misfire frequency at which catalyst damge occurs during first intervall bank 2
AHEKSB1;Misfire frequency at which catalyst damage occures bank 1
AHEKSB2;Misfire frequency at which catalyst damage occures bank 2
AHENSADMX;Misfire frequency to switch off afterstart adaptation
AIMV;Number of speedpulses for calibration of vehicle speed signal
AINTKAN;Number of interval misfire frequency at which ti- cutoff
AKORRUMHSP;Additive correction factor to Injected Fuel mass
AKUPPLB;Number of times clutch is operated for diagnosis clutch switch
ALE;Discharge detection
ALFO;Start value for learning filter at fuel-on/fuel-off adaptation
ALFOF;Start value for learning filter at fuel-off adaptation
ALSU;Output function LSU
ANALUN;Number of combustions for deactivation after detected misfire
ANALUST;Number of combustions for deactivation after detected misfire after engine start
ANRZUEMX;Ignition counter limit until STADAP is active
ANSWE;Controlling connected intake camshaft
ANWFOHE;Number of camshaft rotations for healing
ANWFOST;Number of camshaft rotations for reactivation the adaptation after disabling
ANWSTP;Number of camshaft rotations the fuel-off adaptation is learning (when ready)
ANZDCDIAG;Number of KAP-Tests before conducting the diagnosis
ANZDYREFSH;Min. number of measurement of response time oxygen sensor downstream cat.
ANZDYRESH;Min. number of measurement of response time oxygen sensor downstream cat.
ANZDYSTEIG;Threshold for cycle LSU-signal gradient too low
ANZDYTRFSH;Min number of measurement of transient time oxygen sensor downstream cat.
ANZDYTRSH;Min number of measurement of transient time oxygen sensor downstream cat.
ANZEKPVLMX;Max. number of EKP lead times without reaching end of start
ANZGASH;Min number of step change measurement of transient time oxygen sensor downstre
ANZHZKH;Amount of O2 sensor heater coupling post catalyst
ANZHZOFFH;Numbers of sensor heating disconnecting downstream cat
ANZLVMXA;Max. no. of release attempts at locked exhaust camshaft
ANZLVMXE;Max. no. of release attempts at locked intake camshaft
ANZRESHFA;Min. number of measurement of response time oxygen sensor downstream cat.
ANZRIBEH;Number of Ri.calculations downstream catalyst
ANZRIWZGH;Number of Ri.calculations value too high downstream catalyst
ANZSYNMX;Maximum number of wrong starts at NLPH
ANZTIMN;Minimum number of injections for checking the engine speed raising in NLPH
ANZTISYNOT;Number of injections for activation of the injection locking
ANZTIUM;Minimum number of injections after resynchronisation
ANZTPMX;Maximum number of tips (one after the other)
ANZTPUD;Maximum number of tips in one direction (one after the other)
ANZTRSHFA;Min number of measurement of transient time oxygen sensor downstream cat.
APKTD;Number check catalyst
APKTDI;Number of internal tests, catalyst monitoring
APKTDIS;Number of internal tests, catalyst monitoring by step change
APKTDIT;Number of internal tests, cat monitoring during tester mode
APRBVACP;Maximum number of times this process can be activated without exiting Phase 2
APSTEP;Number OSC measuring in Step Change
ARMD;Moments based anti-judder system
ATEV;Control tank purge valve (period)
ATISLATM;Threshold number of ti to switch from lamns_w to lamwl_w
ATIWKSTM;Threshold number of ti to switch from lamns_w to lawl_w at cold restart
ATM;Exhaust gas temperature model
ATMABKA;Factor reduction of exhaust gas temperature = f(soak time)
ATMABKF;Factor reduction for catalyst temperature downstream pre-cat = f(soak time)
ATMABKK;Factor reduction for catalyst temperature = f(soak time)
ATMRWT;Temperature correction for pipe wall from TKATM
ATR;Exhaust gas temperature control
ATRI;Factor I-part exhaust temperature control
AUSGH_T_UM;Fault healing threshold for cyclic RAM check in monitoring function
AUSG_T_UM;Fault tolerance threshold for the cyclic RAM check in monitoring function
AUSZH_T_UM;Fault healing threshold for cyclic ROM check in monitoring function
